,Technique and metric Name,supports,contradicts,parts_of_same,
82,support - ------------TAG SCONJ---------------,2063,243,496,
83,support - ------------TAG VERB---------------,2170,262,504,
,,,,,
,,,,,
,Technique and metric Name,precision,recall,f1,support
0,micro_avg - No masking,0.950621321124918,0.950621321124918,0.950621321124918,
1,micro_avg - Sentence Masking,0.906098406098406,0.906098406098406,0.906098406098406,
2,micro_avg - Comp 1 Masking,0.373134328358209,0.373134328358209,0.373134328358209,
3,micro_avg - Comp 2 Masking,0.660135135135135,0.660135135135135,0.660135135135135,
4,micro_avg - Masking sentence: start till start of comp 1,0.934576023391813,0.934576023391813,0.934576023391813,
5,micro_avg - Masking Sentence: between components,0.928941524796447,0.928941524796447,0.928941524796447,
6,micro_avg - Masking Sentence: end of comp2 till the end,0.910041841004184,0.910041841004184,0.910041841004184,
7,micro_avg - ------------TAG ADJ---------------,0.5984393757503,0.5984393757503,0.5984393757503,
8,micro_avg - ------------TAG ADP---------------,0.6525,0.6525,0.6525,
9,micro_avg - ------------TAG ADV---------------,0.597482014388489,0.597482014388489,0.597482014388489,
10,micro_avg - ------------TAG AUX---------------,0.597371565113501,0.597371565113501,0.597371565113501,
11,micro_avg - ------------TAG CONJ---------------,0.620875420875421,0.620875420875421,0.620875420875421,
12,micro_avg - ------------TAG DET---------------,0.592666666666667,0.592666666666667,0.592666666666667,
13,micro_avg - ------------TAG NOUN---------------,0.49470549305096,0.49470549305096,0.49470549305096,
14,micro_avg - ------------TAG NUM---------------,0.529950669485553,0.529950669485553,0.529950669485553,
15,micro_avg - ------------TAG PART---------------,0.624731182795699,0.624731182795699,0.624731182795699,
16,micro_avg - ------------TAG PRON---------------,0.603174603174603,0.603174603174603,0.603174603174603,
17,micro_avg - ------------TAG PROPN---------------,0.618637431480031,0.618637431480031,0.618637431480031,
18,micro_avg - ------------TAG PUNCT---------------,0.626362397820163,0.626362397820163,0.626362397820163,
19,micro_avg - ------------TAG SCONJ---------------,0.645610278372591,0.645610278372591,0.645610278372591,
20,micro_avg - ------------TAG VERB---------------,0.597070844686648,0.597070844686648,0.597070844686648,
21,macro_avg - No masking,0.922454881444692,0.910477504786868,0.91615220319584,
22,macro_avg - Sentence Masking,0.846012378675612,0.857117831526321,0.849381124705998,
23,macro_avg - Comp 1 Masking,0.470588813933846,0.431192795306286,0.278066850019541,
24,macro_avg - Comp 2 Masking,0.663836342101391,0.521433695549969,0.471746541161012,
25,macro_avg - Masking sentence: start till start of comp 1,0.896529654987855,0.886368191224766,0.891373535042556,
26,macro_avg - Masking Sentence: between components,0.874025104596628,0.869069265062445,0.871445066742735,
27,macro_avg - Masking Sentence: end of comp2 till the end,0.881399558955034,0.819469227519562,0.847347473096641,
28,macro_avg - ------------TAG ADJ---------------,0.660160519497915,0.514912825632278,0.434266425882164,
29,macro_avg - ------------TAG ADP---------------,0.647525272292175,0.542991405912064,0.485588650608628,
30,macro_avg - ------------TAG ADV---------------,0.568492881688758,0.502283121740677,0.417885803030494,
31,macro_avg - ------------TAG AUX---------------,0.614857633439618,0.490713408527183,0.416679762570306,
32,macro_avg - ------------TAG CONJ---------------,0.61328995909156,0.512934324769541,0.429148445286862,
33,macro_avg - ------------TAG DET---------------,0.552899900006572,0.487693836370908,0.417087954276216,
34,macro_avg - ------------TAG NOUN---------------,0.629098673457611,0.44102885689628,0.351145097621573,
35,macro_avg - ------------TAG NUM---------------,0.53592705989836,0.461099429551279,0.367123909779732,
36,macro_avg - ------------TAG PART---------------,0.647330553852878,0.507050465637245,0.437295441817998,
37,macro_avg - ------------TAG PRON---------------,0.589306443492602,0.481096630749064,0.412715544727574,
38,macro_avg - ------------TAG PROPN---------------,0.588673931130152,0.538877885406324,0.432307621748131,
39,macro_avg - ------------TAG PUNCT---------------,0.582449096877778,0.514178931758227,0.432975612946563,
40,macro_avg - ------------TAG SCONJ---------------,0.623509999647295,0.528700410711853,0.478775384240382,
41,macro_avg - ------------TAG VERB---------------,0.66927832644382,0.512116773437877,0.425782004748828,
42,weighted_avg - No masking,0.950245298353992,0.950621321124918,0.950340847123367,
43,weighted_avg - Sentence Masking,0.908304678249284,0.906098406098406,0.906412398326339,
44,weighted_avg - Comp 1 Masking,0.704993907934239,0.373134328358209,0.387874867227396,
45,weighted_avg - Comp 2 Masking,0.775867671611946,0.660135135135135,0.671206798583387,
46,weighted_avg - Masking sentence: start till start of comp 1,0.934149338849529,0.934576023391813,0.934322826687284,
47,weighted_avg - Masking Sentence: between components,0.928595661947079,0.928941524796447,0.928739009335703,
48,weighted_avg - Masking Sentence: end of comp2 till the end,0.907994629430731,0.910041841004184,0.907728123667642,
